objectid,title,creator,date,date-display,description,subject,location,latitude,longitude,specialized_collection,repository_url,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
fac_011,Canuck,Camille Lessard Bissonette (Liane) ,,,"Novel published by Le Messager reporter Camille Lessard under her pen name ""Liane,"" which follows a French Canadian immigrant woman coming to Maine and working in the mills.","newspapers, books, authors, Camille Lessard Bissonette",,,,Franco-American Collection,https://searchursus.maine.edu/iii/encore/record/C__Rb1957963,Le Messager Newspaper Collection,,text,image/jpeg,fr,In copyright,https://rightsstatements.org/vocab/InC/1.0/,record,/objects/FAC_Canuck.jpg,/objects/small/fac_canuck_sm.jpg,/objects/thumbs/fac_canuck_th.jpg,"Novel published by Le Messager reporter Camille Lessard under her pen name ""Liane."" Small paperback, partially damaged cover. ",
fac_012,Le Messager medicine ad,Le Messager,1899-02-28,"February 28, 1899","Ad for ""Elixir Uterin"" advertised by a nun, which purported to solve ""beau mal"" feminine ailments ","newspapers, Le Messager, advertisements, patent medicines",,,,Franco-American Collection,https://digitalcommons.usm.maine.edu/fac-le-messager-print/93/,Le Messager Newspaper Collection,,text,image/jpeg,fr,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,image,/objects/FAC_leMessager-elixirrad.jpg,/objects/small/fac_lemessager-elixirrad_sm.jpg,/objects/thumbs/fac_lemessager-elixirrad_th.jpg,"Ad for ""Elixir Uterin,"" found in a 1899 issue of Le Messager. Newspaper has yellowed with age, and the ink is faded. The ad contains an image of a nun. The nun is holding a bottle of elixir, and a sign that says: ""Emplatre des 7 douleurs."" Roughly translated this means it will treat 7 different illnesses. ",
fac_013,Georgette Berube Gubernatorial Campaign Ephemera 2,Georgette Berube,1982,1982,"Larger pamphlet about Georgette's campaign for governor, showing her track record as a state rep and causes that she championed","politicians, gubernatorial campaign, Georgette Berube",,,,Franco-American Collection,https://digitalcommons.usm.maine.edu/georgette-berube-political-life/1,Georgette Berube Papers,,text,application/pdf,en,In copyright - Educational use permitted,https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,/objects/FAC_2021-03_GeorgetteBerube_governorflyer.pdf,/objects/small/fac_2021-03_georgetteberube_governorflyer_sm.jpg,/objects/thumbs/fac_2021-03_georgetteberube_governorflyer_th.jpg,"Larger pamphlet advertising Georgette Berube's run for governor of Maine. This is a tri-fold brochure, the front of which depicts a smiling Georgette standing in front of the Maine State House. When opened, the same promotional picture of Georgette from the other pamphlet is visible, along with an image of Georgette with her children, 22 year old Michele and 15 year old Claude. The rest of the brochure outlines facts about her and her stances in more detail.",
fac_014,Letter from Charlotte Michaud to Madelieine [Giguère],Charlotte Michaud,1982-04-07,"April 7, 1982",,,,,,Franco-American Collection,https://digitalcommons.usm.maine.edu/michaud-1974-1985/45/,,,text,application/pdf,fr,In copyright - Educational use permitted,https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,/objects/FAC_LetterfromCharlotteMichaud.pdf,/objects/small/fac_letterfromcharlottemichaud_sm.jpg,/objects/thumbs/fac_letterfromcharlottemichaud_th.jpg,,
oml_001,Keep Cool!,Massachusetts Woman Suffrage Group,1915,1915,,Suffrage,,,,Osher Map Library & Smith Center for Cartographic Education,https://oshermaps.org/map/54594.0001,Osher Map Library Collection,54594,Image;StillImage,image/jpeg,en,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,image,/objects/54594.jpg,/objects/small/oml_54594_sm.jpg,/objects/thumbs/oml_54594_th.jpg,,
oml_002,Southern women and lynching,"Association of Southern Women for the Prevention of Lynching,",1936,1936,,Civil rights,,,,Osher Map Library & Smith Center for Cartographic Education,https://oshermaps.org/map/58468.0001,Osher Map Library Collection,58468,Text,image/jpeg,en,In Copyright,https://creativecommons.org/publicdomain/mark/1.0/,image,/objects/58468.jpg,/objects/small/oml_58468_sm.jpg,/objects/thumbs/oml_58468_th.jpg,,
oml_003,The Tree of Temperance,Currier & Ives,1872,1872,,Temperance,,,,Osher Map Library & Smith Center for Cartographic Education,https://oshermaps.org/map/54288.0001,Osher Map Library Collection,54288,Image;StillImage,image/jpeg,en,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,iiif,https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-108321/manifest?canvas_mode=assets&strip_tags=&child_metadata=?manifest=https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-108321/manifest?canvas_mode=assets&strip_tags=&child_metadata=,/objects/small/oml_54288_sm.jpg,/objects/thumbs/oml_54288_th.jpg,,
oml_004,Map of Memorials of a famous woman: Frances E. Willard,Woman's Christian Temperance Union,1938,1938,,Temperance,,,,Osher Map Library & Smith Center for Cartographic Education,https://oshermaps.org/map/54472.0001,Osher Map Library Collection,54472,Image;StillImage,image/jpeg,en,In Copyright,https://rightsstatements.org/vocab/InC/1.0/,iiif,https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-108227/manifest?canvas_mode=assets&strip_tags=&child_metadata=?manifest=https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-108227/manifest?canvas_mode=assets&strip_tags=&child_metadata=,/objects/small/oml_54472_sm.jpg,/objects/thumbs/oml_54472_th.jpg,,
oml_005,Votes for women a success: the map proves it,National Women Suffrage Publishing Co.,1913,1913,,Suffrage,,,,Osher Map Library & Smith Center for Cartographic Education,https://oshermaps.org/map/53770.0001,Osher Map Library Collection,53770,Text,image/jpeg,en,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,iiif,https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-104152/manifest?canvas_mode=assets&strip_tags=&child_metadata=?manifest=https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-104152/manifest?canvas_mode=assets&strip_tags=&child_metadata=,/objects/small/oml_53770_sm.jpg,/objects/thumbs/oml_53770_th.jpg,,
oml_006,Present Suffrage Status,Equal Suffrage League of Virginia,1913,1913,,Suffrage,,,,Osher Map Library & Smith Center for Cartographic Education,https://oshermaps.org/map/53771.0001,Osher Map Library Collection,53771,Text,image/jpeg,en,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,iiif,https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-104153/manifest?canvas_mode=assets&strip_tags=&child_metadata=?manifest=https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-104153/manifest?canvas_mode=assets&strip_tags=&child_metadata=,/objects/small/oml_53771_sm.jpg,/objects/thumbs/oml_53771_th.jpg,,
oml_007,Game of Bicycle Race,,1895,1895,,Dress reform,,,,Osher Map Library & Smith Center for Cartographic Education,https://oshermaps.org/map/37306.0001,Osher Collection,37306,Image;StillImage,image/jpeg,en,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,image,/objects/37306.jpg,/objects/small/oml_37306_sm.jpg,/objects/thumbs/oml_37306_th.jpg,,
oml_008,Last Leaves of American History: comprising a separate history of California,Emma Willard,1853,1853,,Education,,,,Osher Map Library & Smith Center for Cartographic Education,https://oshermaps.org/map/58015.0001,Osher Map Library Collection,58015,Text,image/jpeg,en,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,image,/objects/58015.jpg,/objects/small/oml_58015_sm.jpg,/objects/thumbs/oml_58015_th.jpg,,
oml_009,Geography for Beginners,Emma Willard,1826,1826,,Education,,,,Osher Map Library & Smith Center for Cartographic Education,https://oshermaps.org/map/2174.0001,Smith Collection,2174,Text,image/jpeg,en,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,iiif,https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-115607/manifest?canvas_mode=child_items&strip_tags=&child_metadata=?manifest=https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-115607/manifest?canvas_mode=child_items&strip_tags=&child_metadata=,/objects/small/oml_2174_sm.jpg,/objects/thumbs/oml_2174_th.jpg,,
oml_010,Game of Bicycle Race,McLoughlin Bros.,1900,1900,,Dress reform,,,,Osher Map Library & Smith Center for Cartographic Education,https://oshermaps.org/map/37003.0001,Osher Collection,37003,Image;StillImage,image/jpeg,en,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,image,/objects/37003.jpg,/objects/small/oml_37003_sm.jpg,/objects/thumbs/oml_37003_th.jpg,,
oml_011,"Map of New York City to accompany ""The temperance movement, or, The conflict between man & alcohol""",G.W. & C.B. Colton & Co.,1887,1887,,Temperance,,,,Osher Map Library & Smith Center for Cartographic Education,https://oshermaps.org/map/56241.0001,Osher Map Library Collection,56241,Image;StillImage,image/jpeg,en,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,iiif,https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-117819/manifest?canvas_mode=assets&strip_tags=&child_metadata=?manifest=https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-117819/manifest?canvas_mode=assets&strip_tags=&child_metadata=,/objects/small/oml_56241_sm.jpg,/objects/thumbs/oml_56241_th.jpg,,
oml_012,Make the Map all white by constitutional amendment: thirty-six states can do it,Lincoln-Lee Legion,1916,1916,,Temperance,,,,Osher Map Library & Smith Center for Cartographic Education,https://oshermaps.org/map/54351.0001,Osher Map Library Collection,54351,Text,image/jpeg,en,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,image,/objects/54351.jpg,/objects/small/oml_54351_sm.jpg,/objects/thumbs/oml_54351_th.jpg,,
oml_013,Twentieth Century Americans of Negro Lineage,Louise E. Jefferson,1965,1965,,Civil rights,,,,Osher Map Library & Smith Center for Cartographic Education,https://oshermaps.org/map/50794.0001,Osher Map Library Collection,50794,Image;StillImage,image/jpeg,en,In Copyright,https://rightsstatements.org/vocab/InC/1.0/,iiif,https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-102633/manifest?canvas_mode=assets&strip_tags=&child_metadata=?manifest=https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-102633/manifest?canvas_mode=assets&strip_tags=&child_metadata=,/objects/small/oml_50794_sm.jpg,/objects/thumbs/oml_50794_th.jpg,,
oml_014,The Lowell Factory Girl,Harriet Jane Farley,1842,1842,,Labor reform,,,,Osher Map Library & Smith Center for Cartographic Education,https://oshermaps.org/map/57797.0001,Osher Collection,57797,Text,image/jpeg,en,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,image,/objects/57797.jpg,/objects/small/oml_57797_sm.jpg,/objects/thumbs/oml_57797_th.jpg,,
oml_015,Boott Cotton Mills,Barlow's Insurance Surveys,1882,1882,,Labor reform,,,,Osher Map Library & Smith Center for Cartographic Education,https://digitalcommons.usm.maine.edu/oml-athm-collection/217/,Textile Museum Collection,55361,Image;StillImage,image/jpeg,en,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,iiif,https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-88200/manifest?canvas_mode=assets&strip_tags=&child_metadata=?manifest=https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-88200/manifest?canvas_mode=assets&strip_tags=&child_metadata=,/objects/small/oml_55361_sm.jpg,/objects/thumbs/oml_55361_th.jpg,,
oml_016,Map of Matrimony,Abigail Frothingham Perley,1833,1833,,Education and Marriage,,,,Osher Map Library & Smith Center for Cartographic Education,https://oshermaps.org/map/57092.0001,Osher Collection,57092,Image;StillImage,image/jpeg,en,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,iiif,https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-126300/manifest?canvas_mode=assets&strip_tags=&child_metadata=?manifest=https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-126300/manifest?canvas_mode=assets&strip_tags=&child_metadata=,/objects/small/oml_57092_sm.jpg,/objects/thumbs/oml_57092_th.jpg,,
oml_017,A Safety Guide for those contemplating a trip on the sea of matrimony,,1906,1906,,Marriage,,,,Osher Map Library & Smith Center for Cartographic Education,https://oshermaps.org/map/58528.0001,Osher Map Library Collection,58528,Image;StillImage,image/jpeg,en,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,iiif,https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-151452/manifest?canvas_mode=assets&strip_tags=&child_metadata=?manifest=https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-151452/manifest?canvas_mode=assets&strip_tags=&child_metadata=,/objects/small/oml_58528_sm.jpg,/objects/thumbs/oml_58528_th.jpg,,
oml_018,Temperance Recorder,,1835,1835,,Temperance,,,,Osher Map Library & Smith Center for Cartographic Education,https://oshermaps.org/map/53940.0050,Osher Collection,53490,Text,image/jpeg,en,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,iiif,https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-110014/manifest?canvas_mode=child_items&strip_tags=&child_metadata=?manifest=https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-110014/manifest?canvas_mode=child_items&strip_tags=&child_metadata=,/objects/small/oml_53490_sm.jpg,/objects/thumbs/oml_53490_th.jpg,,
oml_019,Geographical Guide to a Woman's Heart,,1960,1960,,Marriage,,,,Osher Map Library & Smith Center for Cartographic Education,https://oshermaps.org/map/53804.0001,Osher Map Library Collection,53804,Image;StillImage,image/jpeg,en,In Copyright,https://rightsstatements.org/vocab/InC/1.0/,iiif,https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-103673/manifest?canvas_mode=assets&strip_tags=&child_metadata=?manifest=https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-103673/manifest?canvas_mode=assets&strip_tags=&child_metadata=,/objects/small/oml_53804_sm.jpg,/objects/thumbs/oml_53804_th.jpg,,
oml_020,Select Sentences,Abigail Bishop Putnam,1802,1802,,Female Education and Virtue,,,,Osher Map Library & Smith Center for Cartographic Education,https://oshermaps.org/map/53699.0001,Osher Collection,53699,Text,image/jpeg,en,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,image,/objects/53699.jpg,/objects/small/oml_53699_sm.jpg,/objects/thumbs/oml_53699_th.jpg,,
oml_021,Temperance Movement,Henry William Blair,1888,1888,,Temperance,,,,Osher Map Library & Smith Center for Cartographic Education,https://oshermaps.org/container?id=117827,Osher Map Library Collection,56244,Image;StillImage,,en,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,record,,,,,
spc_001,Letter from Bangor School Department to Maine Chapter of NOW,Bangor (Me.) School Committee,1973-07-25,"July 25, 1973",Reckitt had founded the Maine chapter of NOW in 1973 and this letter is the response to NOW's concern that female interscholastic sports are not supported at the same level as as male sports.,gender parity in school sports,"Bangor, Maine",,,Special Collections,,Lois Galgay Reckitt Papers,LG-MS0083,Text,application/pdf,en,In copyright - Educational use permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,,/objects/SPC_LGMS0083_b18_BSDletter.pdf,/objects/small/spc_lgms0083_b18_bsdletter_sm.jpg,/objects/thumbs/spc_lgms0083_b18_bsdletter_th.jpg,,
spc_002,Lois Reckitt testimony prepared for Maine Human Rights Commission hearings,"Reckitt, Lois",1974-11-20,November 20. 1974,"Reckitt, as the state coordinator of NOW, testified at a hearing for the Maine Human Rights commission, urging ""equal employment opportunities... prohibiton of sex discimintion in public facilities.""",gender discrimination in empoyment,"Augusta, Maine",,,Special Collections,,Lois Galgay Reckitt Papers,LG-MS0083,Text,application/pdf,en,In copyright - Educational use permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,,/objects/SPC_LGMS0083_b36_LGRtestimony.pdf,/objects/small/spc_lgms0083_b36_lgrtestimony_sm.jpg,/objects/thumbs/spc_lgms0083_b36_lgrtestimony_th.jpg,,
spc_003,Complaint #76-274 filed in Cumberland County Superior Court by Lois Reckitt against the Westbrook School Committee,"Law Offices of Joe Bornstein (Portland, Me.)",1974,1974,"Reckitt, who served as the swimming director at the Portland YMCA from 1970-1979, was suing Westbrrook for choosing a less qualified male candidate the the postion of pool director for the Junior High School.",gender discrimination in empoyment,"Portland, Maine",,,Special Collections,,Lois Galgay Reckitt Papers,LG-MS0083,Text,application/pdf,en,In copyright - Educational use permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,,/objects/SPC_LGMS0083_b36_Complaint76-274.pdf,/objects/small/spc_lgms0083_b36_complaint76-274_sm.jpg,/objects/thumbs/spc_lgms0083_b36_complaint76-274_th.jpg,,
spc_004,Letter from Joseph L. Bornstein to Lois Reckitt,"Law Offices of Joe Bornstein (Portland, Me.)",1976-05-17,"May 17, 1976",Formal notification that the Westbrook School Board voted unanimously to pay Reckitt damages. Reckitt pursed social reform through her work with NOW and through the courts.,gender discrimination in empoyment,"Portland, Maine",,,Special Collections,,Lois Galgay Reckitt Papers,LG-MS0083,Text,application/pdf,en,In copyright - Educational use permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,,/objects/SPC_LGMS0083_b36_JLBletter.pdf,/objects/small/spc_lgms0083_b36_jlbletter_sm.jpg,/objects/thumbs/spc_lgms0083_b36_jlbletter_th.jpg,,
spc_005,"Letter from the University Women's Forum, University of Maine Orono to Sisters","University of Maine Orono, University Women's Forum",1977-03-30,"March 30, 1977","This letter, which Reckitt filed under ""Ageism and Women and Wage Discrimination,"" urges people to support LD842, which would establish state programs to help displaced homemakers, that is women left without financial support due to divorce or death of a spouse. There is a grest deal in Reckitt's papers about displaced homemakers and the wage discrimination women faced.","gender discrimination in employment, age discrimination in empolyemnt","Portland, Maine",,,Special Collections,,Lois Galgay Reckitt Papers,LG-MS0083,Text,application/pdf,en,In copyright - Educational use permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,,/objects/SPC_LGMS0083_b18_MEletter.pdf,/objects/small/spc_lgms0083_b18_meletter_sm.jpg,/objects/thumbs/spc_lgms0083_b18_meletter_th.jpg,,
spc_006,The Family Crisis Shelter Program Description,"Family Crisis Shelter (Portland, Me.)",1987-08-01,August 1987,"Reckitt was one of the founders of the Family Crisis Shelter in 1977, to support and advocate for women suffering from domestic abuse. She served as its executive director from 1979-1984 and 1990-2015. This was probably Reckitt's single greatest contribution to social reform in Maine. 1977 was also the year that the National Women's Conference took place in Texas. Those from Maine returned to work on battered women's shelters, but the legislation they sponsored to fund such centers failed. So not only did Reckitt create a center, but the other Maine women, disappointed by the legisture, founded the Maine Women's Lobby in 1978.                                                                                                                   ",abused women services,"Portland, Maine",,,Special Collections,,Lois Galgay Reckitt Papers,LG-MS0083,Text,application/pdf,en,In copyright - Educational use permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,,/objects/SPC_LGMS0083_b07_FCSProgram.pdf,/objects/small/spc_lgms0083_b07_fcsprogram_sm.jpg,/objects/thumbs/spc_lgms0083_b07_fcsprogram_th.jpg,,
spc_007,"Maine Coalition for Family Crisis Services minutes of January 20, 1984 meeting",MCEDV (Organization),1984-01-20,"January 20, 1984","Although Reckitt would move to Washington in 1984 to become executive vice president of National Organization of Women in Washington, D.C., there was now a network of shelters pooling resources to address lesbian battering, rape, lobbying FEMA for funds, hosting conferences, and setting shelter standards.",abused women services,"Augusta, Maine",,,Special Collections,,Lois Galgay Reckitt Papers,LG-MS0083,Text,application/pdf,en,In copyright - Educational use permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,,/objects/SPC_LGMS0083_b06_MCFCSMinutes.pdf,/objects/small/spc_lgms0083_b06_mcfcsminutes_sm.jpg,/objects/thumbs/spc_lgms0083_b06_mcfcsminutes_th.jpg,,
spc_008,"Cartoon drawing ""I want national recognition for the trouble I've had with this staff.""",Unknown,,approximately 1984,"This drawing, though not dated, its proximate to the two previous documents, and the mention of ""natioanl recognition"" sugggests it was a playful recogntion of Reckitt's 7 years sevice to the Family Crisis Shelter by an appreciative staff bidding her goodbye as she left for Washington. ","Family Crisis Shelter (Portland, Me.)","[Portland, Maine}",,,Special Collections,,Lois Galgay Reckitt Papers,LG-MS0083,Text,application/pdf,en,In copyright - Educational use permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/,,/objects/SPC_LGMS0083_b06_cartoon.pdf,/objects/small/spc_lgms0083_b06_cartoon_sm.jpg,/objects/thumbs/spc_lgms0083_b06_cartoon_th.jpg,,
